ID,VERSION,STORE_ID,UUID,TRANSACTION_ID,TYPE_QNAME_ID,LOCALE_ID,ACL_ID,AUDIT_CREATOR,AUDIT_CREATED,AUDIT_MODIFIER,AUDIT_MODIFIED,AUDIT_ACCESSED
3391853,3,6,b47ad621-6080-45d6-87b7-54f1c67576c8,1154106,258,2,66,bvos,2020-08-19T11:02:35.587Z,bvos,2020-08-19T11:02:35.587Z,
3371254,3,6,700e992b-3ba5-428a-8e58-2b7d0640d850,1147146,258,2,66,bvos,2020-08-19T10:46:23.470Z,bvos,2020-08-19T10:46:23.470Z,
3377244,3,6,2d902fed-7faf-45e4-9e02-b4228d93974b,1149177,258,2,66,bvos,2020-08-19T10:51:14.635Z,bvos,2020-08-19T10:51:14.635Z,
3376946,3,6,e22af7f2-04c7-43b6-b4e5-717201466d26,1149075,258,2,66,bvos,2020-08-19T10:51:03.812Z,bvos,2020-08-19T10:51:03.812Z,
3420443,3,6,55ed54c6-8651-4422-afd0-4e2e90f281bc,1163826,258,2,66,bvos,2020-08-19T11:35:16.754Z,bvos,2020-08-19T11:35:16.754Z,
3418361,3,6,99e5133e-ba83-4ecc-9ec6-4d9bf0ca978c,1163124,258,2,66,bvos,2020-08-19T11:33:31.695Z,bvos,2020-08-19T11:33:31.695Z,
3424340,3,6,9293d5d0-2f9b-4f11-b5b7-a9fda5d5e354,1165142,258,2,66,bvos,2020-08-19T11:38:29.760Z,bvos,2020-08-19T11:38:29.760Z,
3419774,3,6,e051c018-78ad-4c84-ad47-67ed78feac23,1163603,258,2,66,bvos,2020-08-19T11:34:39.887Z,bvos,2020-08-19T11:34:39.887Z,
3405268,3,6,dd944677-ce3e-44b8-b773-92d9ff7bc17f,1158689,258,2,66,bvos,2020-08-19T11:22:37.530Z,bvos,2020-08-19T11:22:37.530Z,
3403308,3,6,7c90a44d-0148-415b-88fd-cdf042d5765a,1158025,258,2,66,bvos,2020-08-19T11:20:47.931Z,bvos,2020-08-19T11:20:47.931Z,
3380015,3,6,be812a67-cc54-44e9-ba03-e6d76abd63c6,1150109,258,2,66,bvos,2020-08-19T10:53:06.916Z,bvos,2020-08-19T10:53:06.916Z,
3405849,3,6,b87ed4a9-6988-42ca-9f97-60df9d97c6b8,1158888,258,2,66,bvos,2020-08-19T11:23:07.242Z,bvos,2020-08-19T11:23:07.242Z,
3397171,3,6,1129ea2c-1ee9-427d-9bc8-e2d051c3b2d9,1155932,258,2,66,bvos,2020-08-19T11:07:49.104Z,bvos,2020-08-19T11:07:49.104Z,
3397260,3,6,a616ca1a-21cb-4c3b-875e-b8d8985043a6,1155963,258,2,66,bvos,2020-08-19T11:07:57.430Z,bvos,2020-08-19T11:07:57.430Z,
3394147,3,6,93379601-40fb-4de2-a895-016c2c0395c3,1154885,258,2,66,bvos,2020-08-19T11:04:38.770Z,bvos,2020-08-19T11:04:38.770Z,
3376478,3,6,9116ae5f-26f9-4b2c-b130-afe328f06e10,1148919,258,2,66,bvos,2020-08-19T10:50:45.910Z,bvos,2020-08-19T10:50:45.910Z,
3407240,3,6,761eb7c1-08b4-4fcf-9b7a-63c6cf218473,1159363,258,2,66,bvos,2020-08-19T11:24:15.237Z,bvos,2020-08-19T11:24:15.237Z,
3408290,3,6,245381bc-0aa8-4a84-8ea8-f88ca14f6318,1159720,258,2,66,bvos,2020-08-19T11:25:04.444Z,bvos,2020-08-19T11:25:04.444Z,
3468756,3,6,3de52f08-20c4-47d9-b6d2-dc25cff042a1,1180180,258,2,66,bvos,2020-08-19T12:14:17.012Z,bvos,2020-08-19T12:14:17.012Z,
3479975,3,6,ef11f43c-bc80-46bc-9277-a2dbb0426c01,1183975,258,2,66,bvos,2020-08-19T12:23:35.786Z,bvos,2020-08-19T12:23:35.786Z,
3471576,3,6,9ab9f964-3527-4c04-88b6-12d90517ce4b,1181136,258,2,66,bvos,2020-08-19T12:16:34.422Z,bvos,2020-08-19T12:16:34.422Z,
